,,0
AcceptedCmp4 (con),NumDealsPurchases (con),0.015818717948766405
Recency (con),Teenhome (con),0.014764037552307688
AcceptedCmp3 (con),MntFruits (con),0.014683083303661321
Age (con),MntFruits (con),0.013542102449269622
AcceptedCmp1 (con),Age (con),0.012021343187352516
AcceptedCmp3 (con),Joined_year (con),0.011186140295548881
Kidhome (con),Recency (con),0.0101956437954054
AcceptedCmp2 (con),MntSweetProducts (con),0.010174864101959205
AcceptedCmp3 (con),Complain (con),0.009631490575745234
MntWines (con),NumDealsPurchases (con),0.00876868786686739
AcceptedCmp2 (con),Age (con),0.007856686031071926
Complain (con),Teenhome (con),0.007784221114969644
AcceptedCmp4 (con),MntFruits (con),0.006637882944590324
Complain (con),Recency (con),0.005750356650021077
Education (nom),Marital_Status (nom),0.004875899807666763
Age (con),Complain (con),0.004631460351146719
MntWines (con),Teenhome (con),0.004312308127189259
Complain (con),NumDealsPurchases (con),0.003705328611970977
AcceptedCmp6 (con),NumDealsPurchases (con),0.003060106231515878
AcceptedCmp2 (con),MntFishProducts (con),0.0023509505801783165
NumDealsPurchases (con),Recency (con),0.0022359673467348008
AcceptedCmp3 (con),MntSweetProducts (con),0.0017405613190821108
MntFishProducts (con),Recency (con),0.0010074978786892368
AcceptedCmp2 (con),Joined_year (con),0.0009091277810425925
AcceptedCmp5 (con),Recency (con),0.0003465253641719436
NumStorePurchases (con),Recency (con),-0.00010902398104837495
AcceptedCmp6 (con),Complain (con),-0.00012673131453993153
AcceptedCmp3 (con),MntFishProducts (con),-0.00020726856521464124
AcceptedCmp2 (con),Recency (con),-0.001381589931164293
AcceptedCmp6 (con),NumWebVisitsMonth (con),-0.002678230916914801
Complain (con),MntFruits (con),-0.002942320126540368
Income (con),Recency (con),-0.0031106299008274627
MntFruits (con),Recency (con),-0.005129391313418667
NumWebPurchases (con),Recency (con),-0.005517843108031017
AcceptedCmp2 (con),NumWebVisitsMonth (con),-0.007497689507711253
AcceptedCmp5 (con),Complain (con),-0.008365531534327217
AcceptedCmp4 (con),Joined_year (con),-0.009044509092201947
AcceptedCmp2 (con),MntFruits (con),-0.009907002376025476
Joined_year (con),Teenhome (con),-0.010114521974379048
AcceptedCmp2 (con),Complain (con),-0.01119513774474965
Complain (con),NumStorePurchases (con),-0.011907599383928755
NumCatalogPurchases (con),NumDealsPurchases (con),-0.01223679760402868
Complain (con),NumWebPurchases (con),-0.013506249961363537
AcceptedCmp2 (con),Teenhome (con),-0.015580212925750543
AcceptedCmp3 (con),Income (con),-0.016063203319125224
MntGoldProds (con),Teenhome (con),-0.018314832990584267
Complain (con),NumCatalogPurchases (con),-0.018649320500885372
AcceptedCmp5 (con),Age (con),-0.018935529276702483
Complain (con),MntFishProducts (con),-0.01907377039211769
NumWebVisitsMonth (con),Recency (con),-0.01907512997909152
Complain (con),MntSweetProducts (con),-0.020540093042400467
AcceptedCmp6 (con),Age (con),-0.02080257192679119
Complain (con),MntMeatProducts (con),-0.020985721828657603
AcceptedCmp1 (con),Recency (con),-0.02103637384138788
AcceptedCmp3 (con),NumDealsPurchases (con),-0.023406722638759505
Complain (con),Joined_year (con),-0.02479559337652973
Complain (con),Income (con),-0.02490249041606008
